cellTime,cell,time,blot
ABa:1,ABa,1,5981
ABa:2,ABa,2,7201
ABa:3,ABa,3,8672
ABa:4,ABa,4,8342
ABa:5,ABa,5,8273
ABa:6,ABa,6,5698
ABal:7,ABal,7,2121
ABal:8,ABal,8,4319
ABal:9,ABal,9,6913
ABal:10,ABal,10,9454
ABal:11,ABal,11,12302
ABal:12,ABal,12,14292
ABal:13,ABal,13,13737
ABal:14,ABal,14,11551
ABal:15,ABal,15,6647
ABala:16,ABala,16,2776
ABala:17,ABala,17,2491
ABala:18,ABala,18,4328
ABala:19,ABala,19,7877
ABala:20,ABala,20,11367
ABala:21,ABala,21,14261
ABala:22,ABala,22,15793
ABala:23,ABala,23,16890
ABala:24,ABala,24,16209
ABala:25,ABala,25,12114
ABala:26,ABala,26,5160
ABalaa:27,ABalaa,27,3366
ABalaa:28,ABalaa,28,4383
ABalaa:29,ABalaa,29,7100
ABalaa:30,ABalaa,30,10280
ABalaa:31,ABalaa,31,13161
ABalaa:32,ABalaa,32,14305
ABalaa:33,ABalaa,33,16881
ABalaa:34,ABalaa,34,18713
ABalaa:35,ABalaa,35,19449
ABalaa:36,ABalaa,36,20326
ABalaa:37,ABalaa,37,20972
ABalaa:38,ABalaa,38,20642
ABalaa:39,ABalaa,39,20464
ABalaa:40,ABalaa,40,19988
ABalaa:41,ABalaa,41,18995
ABalaa:42,ABalaa,42,14134
ABalaa:43,ABalaa,43,4504
ABalaaa:44,ABalaaa,44,3226
ABalaaa:45,ABalaaa,45,3445
ABalaaa:46,ABalaaa,46,6000
ABalaaa:47,ABalaaa,47,10640
ABalaaa:48,ABalaaa,48,15535
ABalaaa:49,ABalaaa,49,17362
ABalaaa:50,ABalaaa,50,18634
ABalaaa:51,ABalaaa,51,20690
ABalaaa:52,ABalaaa,52,22541
ABalaaa:53,ABalaaa,53,24101
ABalaaa:54,ABalaaa,54,25199
ABalaaa:55,ABalaaa,55,26986
ABalaaa:56,ABalaaa,56,24822
ABalaaa:57,ABalaaa,57,25223
ABalaaa:58,ABalaaa,58,23946
ABalaaa:59,ABalaaa,59,23100
ABalaaa:60,ABalaaa,60,21008
ABalaaa:61,ABalaaa,61,15931
ABalaaa:62,ABalaaa,62,9506
ABalaaa:63,ABalaaa,63,3423
ABalaaaa:64,ABalaaaa,64,2844
ABalaaaa:65,ABalaaaa,65,2774
ABalaaaa:66,ABalaaaa,66,4567
ABalaaaa:67,ABalaaaa,67,6725
ABalaaaa:68,ABalaaaa,68,7855
