DATA1,DATA2,DATA3
ABa,0,2466
ABal,1.40833333333333,2266
ABal,2.81666666666667,3101
ABal,4.225,1889
ABal,5.63333333333333,398
ABal,7.04166666666667,188
ABal,8.45,274
ABal,9.85833333333333,464
ABal,11.2666666666667,768
ABal,12.675,1153
ABal,14.0833333333333,3633
ABal,15.4916666666667,4444
ABala,16.9,2885
ABala,18.3083333333333,3360
ABala,19.7166666666667,2556
ABala,21.125,2082
ABala,22.5333333333333,1596
ABala,23.9416666666667,1725
ABala,25.35,2013
ABala,26.7583333333333,1935
ABala,28.1666666666667,2084
ABala,29.575,2280
ABala,30.9833333333333,2561
ABala,32.3916666666667,2711
ABala,33.8,2233
ABalaa,35.2083333333333,1744
ABalaa,36.6166666666667,2273
ABalaa,38.025,2029
ABalaa,39.4333333333333,1296
ABalaa,40.8416666666667,995
ABalaa,42.25,854
ABalaa,43.6583333333333,709
ABalaa,45.0666666666667,827
ABalaa,46.475,1046
ABalaa,47.8833333333333,1273
ABalaa,49.2916666666667,1454
ABalaa,50.7,1615
ABalaa,52.1083333333333,1812
ABalaa,53.5166666666667,2261
ABalaa,54.925,2168
ABalaa,56.3333333333333,2482
ABalaa,57.7416666666667,1819
ABalaa,59.15,1131
ABalaaa,60.5583333333333,1539
ABalaaa,61.9666666666667,1910
ABalaaa,63.375,1300
ABalaaa,64.7833333333333,1071
ABalaaa,66.1916666666667,757
ABalaaa,67.6,819
ABalaaa,69.0083333333333,723
ABalaaa,70.4166666666667,923
ABalaaa,71.825,763
ABalaaa,73.2333333333333,1009
ABalaaa,74.6416666666667,1218
ABalaaa,76.05,1158
ABalaaa,77.4583333333333,990
ABalaaa,78.8666666666667,1247
ABalaaa,80.275,1265
ABalaaa,81.6833333333334,1358.90139965468
ABalaaa,83.0916666666667,1456.2714999449
ABalaaa,84.5,1561.13160794974
ABalaaa,85.9083333333333,1244.41128173102
ABalaaa,87.3166666666667,839.950865140884
ABalaaaa,88.725,465.45047940928
ABalaaaa,90.1333333333333,606.690624885199
ABalaaaa,91.5416666666667,370.220381323243
ABalaaaa,92.95,478.290492634363
ABalaaaa,94.3583333333333,196.880202784615
ABalaaaa,95.7666666666667,334.910344954263
ABalaaaa,97.175,236.470243561956
ABalaaaa,98.5833333333333,210.790217111789
ABalaaaa,99.9916666666667,578.870596230851
ABalaaaa,101.4,1013.29104367951
ABalaaaa,102.808333333333,683.7307042357
ABalaaaa,104.216666666667,711.550732890048
ABalaaaa,105.625,1001.52103155652
ABalaaaa,107.033333333333,757.560780279931
ABalaaaa,108.441666666667,1013.29104367951
ABalaaaa,109.85,1106.38113956137
ABalaaaa,111.258333333333,1242.27127952684
ABalaaaa,112.666666666667,1233.71127071011
ABalaaaa,114.075,1331.08137100033
ABalaaaa,115.483333333333,1331.08137100033
ABalaaaa,116.891666666667,1220.87125748503
ABalaaaa,118.3,1376.02141728812
ABalaaaa,119.708333333333,1072.14110429448
ABalaaaa,121.116666666667,1167.37120238052
ABalaaaa,122.525,1237.99127511847
ABalaaaa,123.933333333333,1586.81163439991
ABalaaaal,125.341666666667,1388.86143051321
ABalaaaal,126.75,1149.18118364498
ABalaaaal,128.158333333333,924.480952206017
ABalaaaal,129.566666666667,1211.24124756622
ABalaaaal,130.975,671.960692112707
ABalaaaal,132.383333333333,1500.1415451306
ABalaaaal,133.791666666667,1166.30120127842
ABalaaaal,135.2,1108.52114176555
ABalaaaal,136.608333333333,1323.5913632857
ABalaaaal,138.016666666667,860.2808860806
ABalaaaal,139.425,942.670970941552
ABalaaaal,140.833333333333,1261.53129936446
ABalaaaal,142.241666666667,1225.15126189339
ABalaaaal,143.65,1587.881635502
ABalaaaal,145.058333333333,1671.34172146505
ABalaaaal,146.466666666667,1091.4011241321
ABalaaaal,147.875,1556.85160354138
ABalaaaal,149.283333333333,1214.45125087249
ABalaaaal,150.691666666667,1143.83117813453
ABalaaaal,152.1,1260.46129826237
ABalaaaal,153.508333333333,1095.68112854047
ABalaaaal,154.916666666667,1108.52114176555
ABalaaaal,156.325,1006.87103706697
ABalaaaal,157.733333333333,1094.61112743837
ABalaaaal,159.141666666667,1441.29148451563
ABalaaaal,160.55,1172.72120789097
ABalaaaal,161.958333333333,1527.96157378495
ABalaaaal,163.366666666667,1209.10124536204
ABalaaaal,164.775,1478.74152308879
ABalaaaal,166.183333333333,864.560890488961
ABalaaaal,167.591666666667,2011.60207192976
ABalaaaala,169,1597.51164542081
ABalaaaala,170.408333333333,973.701002902171
ABalaaaala,171.816666666667,1877.85193416847
ABalaaaala,173.225,1369.60141067558
ABalaaaala,174.633333333333,1767.64182065317
ABalaaaala,176.041666666667,1763.36181624481
ABalaaaala,177.45,1665.99171595459
ABalaaaala,178.858333333333,2258.77232651262
ABalaaaala,180.266666666667,1692.56796692064
ABalaaaala,181.675,1812.99305291734
ABalaaaala,183.083333333333,2354.2442636058
ABalaaaala,184.491666666667,1562.87941277035
ABalaaaala,185.9,1578.75964389079
ABalaaaala,187.308333333333,1422.6040378731
ABalaaaala,188.716666666667,1273.06519482225
ABalaaaala,190.125,1319.38253559021
ABalaaaala,191.533333333333,1263.80172666866
ABalaaaala,192.941666666667,1720.35837138142
ABalaaaala,194.35,1038.8317857957
ABalaaaala,195.758333333333,1895.0409137063
ABalaaaala,197.166666666667,1134.11317251837
ABalaaaala,198.575,1752.11883362231
ABalaaaala,199.983333333333,1541.70577127642
ABalaaaala,201.391666666667,1273.06519482225
ABalaaaala,202.8,1867.25050924552
ABalaaaala,204.208333333333,2022.08276266985
ABalaaaala,205.616666666667,1922.83131816708
ABalaaaala,207.025,1488.77166754161
ABalaaaala,208.433333333333,1627.7236898455
ABalaaaala,209.841666666667,1621.10692687864
ABalaaaala,211.25,2100.1605656787
ABalaaaala,212.658333333333,1736.23860250186
ABalaaaala,214.066666666667,1913.56785001348
ABalaaaala,215.475,1798.43617439027
ABalaaaala,216.883333333333,1820.93316847756
ABalaaaala,218.291666666667,1721.68172397479
ABalaaaala,219.7,1631.69374762561
ABalaaaala,221.108333333333,1681.98114617368
ABalaaaala,222.516666666667,1875.19062480575
ABalaaaala,223.925,1353.78970301784
ABalaaaala,225.333333333333,1347.17294005099
ABalaaaala,226.741666666667,1146.0233458587
ABalaaaala,228.15,1114.26288361781
ABalaaaala,229.558333333333,1017.65814430178
ABalaaaala,230.966666666667,1783.87929586319
ABalaaaala,232.375,1134.11317251837
ABalaaaala,233.783333333333,1242.62808517473
ABalaaaala,235.191666666667,1499.35848828857
ABalaaaala,236.6,1349.81964523773
ABalaaaala,238.008333333333,1315.4124778101
ABalaaaala,239.416666666667,686.819995959197
ABalaaaala,240.825,1344.52623486425
ABalaaaalar,242.233333333333,1245.27479036147
ABalaaaalar,243.641666666667,1711.09490322783
ABalaaaalar,245.05,910.466584238781
ABalaaaalar,246.458333333333,794.011556022193
ABalaaaalar,247.866666666667,817.831902702859
ABalaaaalar,249.275,1198.95744959351
ABalaaaalar,250.683333333333,1255.86161110844
ABalaaaalar,252.091666666667,1200.28080218688
ABalaaaalar,253.5,668.293059652012
ABalaaaalar,254.908333333333,858.855833097339
ABalaaaalar,256.316666666667,1453.04114752061
ABalaaaalar,257.725,1610.52010613168
ABalaaaalar,259.133333333333,1116.90958880455
ABalaaaalar,260.541666666667,1225.42450146092
ABalaaaalar,261.95,1687.27455654716
ABalaaaalar,263.358333333333,1188.37062884655
ABalaaaalar,264.766666666667,1577.43629129742
ABalaaaalar,266.175,1844.75351515823
ABalaaaalar,267.583333333333,1329.96935633717
ABalaaaalar,268.991666666667,1539.05906608968
ABalaaaalar,270.4,1181.7538658797
ABalaaaalar,271.808333333333,1423.92739046647
ABalaaaalar,273.216666666667,948.84380944652
ABalaaaalar,274.625,2227.20241464225
ABalaaaalar,276.033333333333,1539.05906608968
ABalaaaalar,277.441666666667,1998.26241598919
ABalaaaalar,278.85,1425.72130220402
ABalaaaalar,280.258333333333,2011.0174157404
ABalaaaalar,281.666666666667,2151.08828051834
ABalaaaalar,283.075,2454.57515420387
ABalaaaalar,284.483333333333,3119.91176189908
ABalaaaalar,285.891666666667,2889.79534119247
ABalaaaalar,287.3,3069.88645304981
ABalaaaalar,288.708333333333,2933.15060886183
ABalaaaalar,290.116666666667,2467.91523656368
ABalaaaalar,291.525,2768.06708965926
ABalaaaalar,292.933333333333,2427.89498948426
ABalaaaalar,294.341666666667,1920.97185981173
ABalaaaalal,242.233333333333,1850.04692553171
ABalaaaalal,243.641666666667,1789.17270623667
ABalaaaalal,245.05,1194.9873918134
ABalaaaalal,246.458333333333,1218.80773849407
ABalaaaalal,247.866666666667,1136.75987770511
ABalaaaalal,249.275,1270.41848963551
ABalaaaalal,250.683333333333,1108.96947324433
ABalaaaalal,252.091666666667,873.412711624412
ABalaaaalal,253.5,1651.54403652616
ABalaaaalal,254.908333333333,927.670167952595
ABalaaaalal,256.316666666667,1683.30449876705
ABalaaaalal,257.725,1163.22692957251
ABalaaaalal,259.133333333333,1140.72993548522
ABalaaaalal,260.541666666667,874.736064217783
ABalaaaalal,261.95,1564.20276536372
ABalaaaalal,263.358333333333,1618.4602216919
ABalaaaalal,264.766666666667,730.490631540418
ABalaaaalal,266.175,563.748204775757
ABalaaaalal,267.583333333333,1184.40057106644
ABalaaaalal,268.991666666667,1502.00519347531
ABalaaaalal,270.4,1570.81952833057
ABalaaaalal,271.808333333333,1365.69987635817
ABalaaaalal,273.216666666667,1544.35247646317
ABalaaaalal,274.625,1287.62207334932
ABalaaaalal,276.033333333333,2015.465999703
ABalaaaalal,277.441666666667,2142.50784866655
ABalaaaalal,278.85,1557.45461550708
ABalaaaalal,280.258333333333,1313.99811244066
ABalaaaalal,281.666666666667,1620.82000671614
ABalaaaalal,283.075,1263.9728035914
ABalaaaalal,284.483333333333,1707.53054205487
