cellTime,cell,time,none
ABa:1,ABa,1,13124
ABa:2,ABa,2,16024
ABa:3,ABa,3,9878
ABal:4,ABal,4,8997
ABal:5,ABal,5,9718
ABal:6,ABal,6,8529
ABal:7,ABal,7,6899
ABal:8,ABal,8,6426
ABal:9,ABal,9,6366
ABal:10,ABal,10,6672
ABal:11,ABal,11,6859
ABal:12,ABal,12,6978
ABal:13,ABal,13,9448
ABal:14,ABal,14,10482
ABala:15,ABala,15,8691
ABala:16,ABala,16,8869
ABala:17,ABala,17,7911
ABala:18,ABala,18,7060
ABala:19,ABala,19,6287
ABala:20,ABala,20,6305
ABala:21,ABala,21,6311
ABala:22,ABala,22,6176
ABala:23,ABala,23,6084
ABala:24,ABala,24,6207
ABala:25,ABala,25,6499
ABala:26,ABala,26,6838
ABala:27,ABala,27,6394
ABalaa:28,ABalaa,28,5703
ABalaa:29,ABalaa,29,6206
ABalaa:30,ABalaa,30,5504
ABalaa:31,ABalaa,31,4690
ABalaa:32,ABalaa,32,4319
ABalaa:33,ABalaa,33,4058
ABalaa:34,ABalaa,34,3869
ABalaa:35,ABalaa,35,3963
ABalaa:36,ABalaa,36,4140
ABalaa:37,ABalaa,37,4286
ABalaa:38,ABalaa,38,4502
ABalaa:39,ABalaa,39,4498
ABalaa:40,ABalaa,40,4595
ABalaa:41,ABalaa,41,4974
ABalaa:42,ABalaa,42,4795
ABalaa:43,ABalaa,43,5254
ABalaa:44,ABalaa,44,4724
ABalaa:45,ABalaa,45,4004
ABalaaa:46,ABalaaa,46,4479
ABalaaa:47,ABalaaa,47,4383
ABalaaa:48,ABalaaa,48,3487
ABalaaa:49,ABalaaa,49,3183
ABalaaa:50,ABalaaa,50,2925
ABalaaa:51,ABalaaa,51,2945
ABalaaa:52,ABalaaa,52,2726
ABalaaa:53,ABalaaa,53,2865
ABalaaa:54,ABalaaa,54,2740
ABalaaa:55,ABalaaa,55,2917
ABalaaa:56,ABalaaa,56,3010
ABalaaa:57,ABalaaa,57,2906
ABalaaa:58,ABalaaa,58,2770
ABalaaa:59,ABalaaa,59,2971
ABalaaa:60,ABalaaa,60,3015
ABalaaa:61,ABalaaa,61,2726
ABalaaa:62,ABalaaa,62,2841
ABalaaa:63,ABalaaa,63,2835
ABalaaa:64,ABalaaa,64,2726
ABalaaa:65,ABalaaa,65,2471
ABalaaaa:66,ABalaaaa,66,2339
ABalaaaa:67,ABalaaaa,67,2313
ABalaaaa:68,ABalaaaa,68,2166
ABalaaaa:69,ABalaaaa,69,2083
ABalaaaa:70,ABalaaaa,70,1927
ABalaaaa:71,ABalaaaa,71,2175
ABalaaaa:72,ABalaaaa,72,2142
ABalaaaa:73,ABalaaaa,73,2079
ABalaaaa:74,ABalaaaa,74,2308
ABalaaaa:75,ABalaaaa,75,2513
ABalaaaa:76,ABalaaaa,76,2276
ABalaaaa:77,ABalaaaa,77,2270
ABalaaaa:78,ABalaaaa,78,2359
ABalaaaa:79,ABalaaaa,79,2200
ABalaaaa:80,ABalaaaa,80,2412
ABalaaaa:81,ABalaaaa,81,2406
ABalaaaa:82,ABalaaaa,82,2608
ABalaaaa:83,ABalaaaa,83,2469
ABalaaaa:84,ABalaaaa,84,2590
ABalaaaa:85,ABalaaaa,85,2590
ABalaaaa:86,ABalaaaa,86,2406
ABalaaaa:87,ABalaaaa,87,2590
ABalaaaa:88,ABalaaaa,88,2219
ABalaaaa:89,ABalaaaa,89,2418
ABalaaaa:90,ABalaaaa,90,2558
ABalaaaa:91,ABalaaaa,91,2830
ABalaaaal:92,ABalaaaal,92,2644
ABalaaaal:93,ABalaaaal,93,2491
ABalaaaal:94,ABalaaaal,94,2215
ABalaaaal:95,ABalaaaal,95,2440
ABalaaaal:96,ABalaaaal,96,1989
ABalaaaal:97,ABalaaaal,97,2759
ABalaaaal:98,ABalaaaal,98,2339
ABalaaaal:99,ABalaaaal,99,2401
ABalaaaal:100,ABalaaaal,100,2610
ABalaaaal:101,ABalaaaal,101,2141
ABalaaaal:102,ABalaaaal,102,2194
ABalaaaal:103,ABalaaaal,103,2483
ABalaaaal:104,ABalaaaal,104,2670
ABalaaaal:105,ABalaaaal,105,2958
ABalaaaal:106,ABalaaaal,106,2963
ABalaaaal:107,ABalaaaal,107,2466
ABalaaaal:108,ABalaaaal,108,2768
ABalaaaal:109,ABalaaaal,109,2480
ABalaaaal:110,ABalaaaal,110,2390
ABalaaaal:111,ABalaaaal,111,2426
ABalaaaal:112,ABalaaaal,112,2395
ABalaaaal:113,ABalaaaal,113,2369
ABalaaaal:114,ABalaaaal,114,2262
ABalaaaal:115,ABalaaaal,115,2342
ABalaaaal:116,ABalaaaal,116,2610
ABalaaaal:117,ABalaaaal,117,2354
ABalaaaal:118,ABalaaaal,118,2855
ABalaaaal:119,ABalaaaal,119,2732
ABalaaaal:120,ABalaaaal,120,2951
ABalaaaal:121,ABalaaaal,121,2468
ABalaaaal:122,ABalaaaal,122,3367
ABalaaaala:123,ABalaaaala,123,3109
ABalaaaala:124,ABalaaaala,124,2713
ABalaaaala:125,ABalaaaala,125,3087
ABalaaaala:126,ABalaaaala,126,2978
ABalaaaala:127,ABalaaaala,127,3118
ABalaaaala:128,ABalaaaala,128,3274
ABalaaaala:129,ABalaaaala,129,3110
ABalaaaala:130,ABalaaaala,130,3835
ABalaaaala:131,ABalaaaala,131,2356
ABalaaaala:132,ABalaaaala,132,2448
ABalaaaala:133,ABalaaaala,133,2915
ABalaaaala:134,ABalaaaala,134,2401
ABalaaaala:135,ABalaaaala,135,2463
ABalaaaala:136,ABalaaaala,136,2167
ABalaaaala:137,ABalaaaala,137,2208
ABalaaaala:138,ABalaaaala,138,2100
ABalaaaala:139,ABalaaaala,139,2167
ABalaaaala:140,ABalaaaala,140,2432
ABalaaaala:141,ABalaaaala,141,1840
ABalaaaala:142,ABalaaaala,142,2339
ABalaaaala:143,ABalaaaala,143,2042
ABalaaaala:144,ABalaaaala,144,2450
ABalaaaala:145,ABalaaaala,145,2235
ABalaaaala:146,ABalaaaala,146,2022
ABalaaaala:147,ABalaaaala,147,2511
ABalaaaala:148,ABalaaaala,148,2571
ABalaaaala:149,ABalaaaala,149,2517
ABalaaaala:150,ABalaaaala,150,2224
ABalaaaala:151,ABalaaaala,151,2258
ABalaaaala:152,ABalaaaala,152,2364
ABalaaaala:153,ABalaaaala,153,2643
ABalaaaala:154,ABalaaaala,154,2235
ABalaaaala:155,ABalaaaala,155,2364
ABalaaaala:156,ABalaaaala,156,2577
ABalaaaala:157,ABalaaaala,157,2541
ABalaaaala:158,ABalaaaala,158,2477
ABalaaaala:159,ABalaaaala,159,2484
ABalaaaala:160,ABalaaaala,160,2437
ABalaaaala:161,ABalaaaala,161,2545
ABalaaaala:162,ABalaaaala,162,2085
ABalaaaala:163,ABalaaaala,163,2139
ABalaaaala:164,ABalaaaala,164,2077
ABalaaaala:165,ABalaaaala,165,2089
ABalaaaala:166,ABalaaaala,166,1935
ABalaaaala:167,ABalaaaala,167,2562
