cellTime,cell,time,none
ABa:1,ABa,1,17239
ABa:2,ABa,2,18522
ABa:3,ABa,3,19727
ABa:4,ABa,4,20010
ABa:5,ABa,5,20155
ABa:6,ABa,6,17362
ABal:7,ABal,7,13028
ABal:8,ABal,8,15075
ABal:9,ABal,9,18468
ABal:10,ABal,10,22448
ABal:11,ABal,11,25121
ABal:12,ABal,12,26339
ABal:13,ABal,13,25713
ABal:14,ABal,14,22117
ABal:15,ABal,15,18244
ABala:16,ABala,16,14931
ABala:17,ABala,17,12918
ABala:18,ABala,18,14323
ABala:19,ABala,19,18109
ABala:20,ABala,20,20835
ABala:21,ABala,21,23435
ABala:22,ABala,22,24436
ABala:23,ABala,23,26280
ABala:24,ABala,24,24725
ABala:25,ABala,25,20576
ABala:26,ABala,26,16104
ABalaa:27,ABalaa,27,12687
ABalaa:28,ABalaa,28,13124
ABalaa:29,ABalaa,29,15601
ABalaa:30,ABalaa,30,17881
ABalaa:31,ABalaa,31,19752
ABalaa:32,ABalaa,32,20576
ABalaa:33,ABalaa,33,23396
ABalaa:34,ABalaa,34,25288
ABalaa:35,ABalaa,35,26342
ABalaa:36,ABalaa,36,27111
ABalaa:37,ABalaa,37,27246
ABalaa:38,ABalaa,38,26503
ABalaa:39,ABalaa,39,26197
ABalaa:40,ABalaa,40,26668
ABalaa:41,ABalaa,41,26173
ABalaa:42,ABalaa,42,21522
ABalaa:43,ABalaa,43,14418
ABalaaa:44,ABalaaa,44,12578
ABalaaa:45,ABalaaa,45,13215
ABalaaa:46,ABalaaa,46,13628
ABalaaa:47,ABalaaa,47,17716
ABalaaa:48,ABalaaa,48,22894
ABalaaa:49,ABalaaa,49,24121
ABalaaa:50,ABalaaa,50,25044
ABalaaa:51,ABalaaa,51,26988
ABalaaa:52,ABalaaa,52,28881
ABalaaa:53,ABalaaa,53,30449
ABalaaa:54,ABalaaa,54,32108
ABalaaa:55,ABalaaa,55,33759
ABalaaa:56,ABalaaa,56,31596
ABalaaa:57,ABalaaa,57,31660
ABalaaa:58,ABalaaa,58,30459
ABalaaa:59,ABalaaa,59,29458
ABalaaa:60,ABalaaa,60,28545
ABalaaa:61,ABalaaa,61,23313
ABalaaa:62,ABalaaa,62,18260
ABalaaa:63,ABalaaa,63,13853
ABalaaaa:64,ABalaaaa,64,10963
ABalaaaa:65,ABalaaaa,65,9846
ABalaaaa:66,ABalaaaa,66,11232
ABalaaaa:67,ABalaaaa,67,11743
ABalaaaa:68,ABalaaaa,68,12494
ABalaaaa:69,ABalaaaa,69,16175
ABalaaaa:70,ABalaaaa,70,18332
ABalaaaa:71,ABalaaaa,71,18897
ABalaaaa:72,ABalaaaa,72,20417
ABalaaaa:73,ABalaaaa,73,21471
ABalaaaa:74,ABalaaaa,74,21400
ABalaaaa:75,ABalaaaa,75,22072
ABalaaaa:76,ABalaaaa,76,23320
ABalaaaa:77,ABalaaaa,77,23219
ABalaaaa:78,ABalaaaa,78,21878
ABalaaaa:79,ABalaaaa,79,21850
ABalaaaa:80,ABalaaaa,80,22547
ABalaaaa:81,ABalaaaa,81,23059
ABalaaaa:82,ABalaaaa,82,22106
ABalaaaa:83,ABalaaaa,83,24590
ABalaaaa:84,ABalaaaa,84,23938
ABalaaaa:85,ABalaaaa,85,24277
ABalaaaa:86,ABalaaaa,86,23438
ABalaaaa:87,ABalaaaa,87,22054
ABalaaaa:88,ABalaaaa,88,18273
ABalaaaa:89,ABalaaaa,89,13152
ABalaaaa:90,ABalaaaa,90,13033
ABalaaaal:91,ABalaaaal,91,11488
ABalaaaal:92,ABalaaaal,92,11513
